Игрок,Координаты,Очки,Копья,Мечи,Топоры,Лазы,ЛК,ТК,Тараны,Каты,Пал,Двор
8Taras8,514|585,9602,12437,5470,0,966,0,0,15,0,0,3
8Taras8,514|586,9557,12996,5499,0,546,0,0,14,0,0,2
8Taras8,516|586,9649,15798,2795,0,443,0,0,5,0,0,1
8Taras8,520|590,9483,9415,9201,0,497,0,0,15,0,1,2
8Taras8,521|586,9473,11225,7848,0,395,0,0,13,0,1,3
8Taras8,525|586,9918,7596,7376,0,299,0,0,11,0,1,3
AdreNoliN,459|540,7851,0,0,1049,3,256,0,24,0,0,0
AdreNoliN,458|540,7645,0,0,1412,6,219,0,58,0,0,1
AdreNoliN,434|550,6846,10639,10026,0,548,0,0,19,0,0,0
AdreNoliN,456|545,7026,10093,9272,0,331,0,295,0,0,1,0
AdreNoliN,489|538,7938,1085,0,5750,138,2720,134,223,0,0,7
AdreNoliN,448|548,7851,0,0,3816,30,2923,0,229,0,0,5
AdreNoliN,454|570,6846,10737,9905,0,560,0,0,19,0,0,0
AdreNoliN,448|547,6890,10795,10970,0,89,0,0,0,0,1,0
AdreNoliN,436|568,7636,0,0,271,30,1194,0,107,0,0,2
AdreNoliN,459|541,8112,5114,4952,0,115,0,7,0,0,1,0
AdreNoliN,441|539,6876,9933,10775,0,574,0,0,30,0,0,0
AdreNoliN,447|548,6846,11693,9154,0,466,0,0,15,0,0,0
AdreNoliN,420|528,6846,11668,9462,0,325,6,0,10,0,0,0
AdreNoliN,417|529,6809,12336,8291,0,605,0,0,12,0,0,0
AdreNoliN,413|543,6846,12060,8825,0,460,0,0,10,0,0,0
AdreNoliN,401|525,6846,11465,9601,0,372,0,0,8,0,0,0
AdreNoliN,407|540,6846,10279,10491,0,509,0,0,13,0,0,0
AdreNoliN,398|515,6846,9822,10862,0,544,0,0,16,0,0,0
AdreNoliN,446|549,6846,11577,8482,0,458,0,0,7,0,0,0
AdreNoliN,478|582,6846,14503,6488,0,428,0,0,2,0,0,0
AdreNoliN,460|578,6846,11952,8761,0,537,0,0,14,0,0,0
AdreNoliN,447|572,6846,13633,7372,0,401,0,0,10,0,0,0
AdreNoliN,454|580,6846,13675,7477,0,346,0,0,2,0,0,0
AdreNoliN,456|589,6846,11469,9550,0,397,0,0,8,0,0,0
AdreNoliN,445|571,7116,4041,3099,0,593,0,100,65,0,0,0
AdreNoliN,425|571,6846,10499,10436,0,435,0,0,10,0,0,0
AdreNoliN,431|580,6846,10494,10503,0,407,0,0,8,0,0,0
AdreNoliN,404|504,7808,0,0,676,26,1145,0,161,0,0,3
AdreNoliN,404|507,7590,0,0,697,30,1038,0,141,0,0,2
AdreNoliN,448|546,7636,0,0,4942,25,2040,0,198,0,0,5
AdreNoliN,448|550,6846,12151,8889,0,388,0,0,8,0,0,0
AdreNoliN,446|547,6809,11416,9349,0,532,0,0,14,0,0,0
AdreNoliN,408|505,6846,11590,9059,0,559,0,0,18,0,0,0
AdreNoliN,402|501,6846,10144,10352,0,635,0,0,18,0,0,0
AdreNoliN,453|550,5479,0,0,331,13,160,0,36,0,0,0
AdreNoliN,442|539,6908,7794,9098,0,608,0,0,35,0,0,0
AdreNoliN,442|553,5479,0,0,311,7,131,0,23,0,0,0
AdreNoliN,432|570,5455,0,0,5719,21,1429,0,413,0,1,0
AdreNoliN,441|587,6846,10264,10476,0,514,0,0,17,0,0,0
AdreNoliN,404|553,2992,0,0,1361,40,535,0,147,0,0,0
AdreNoliN,439|540,6829,10741,9371,0,510,0,0,14,0,0,0
AdreNoliN,430|541,6846,11063,9588,0,562,0,0,16,0,0,0
AdreNoliN,427|548,6846,10759,9807,0,598,0,0,19,0,0,0
AdreNoliN,436|562,6846,11581,9216,0,491,0,0,15,0,0,0
AdreNoliN,428|555,6846,11150,9456,0,597,0,0,11,0,0,0
AdreNoliN,487|596,6846,10523,10566,0,366,0,0,7,0,0,0
AdreNoliN,398|524,2956,996,400,0,283,0,0,9,0,0,0
AdreNoliN,508|591,6890,11209,11215,0,312,0,0,0,0,1,0
AdreNoliN,440|541,6825,11116,8900,0,514,0,0,14,0,0,0
AdreNoliN,432|538,7636,0,0,2069,18,1258,0,103,0,0,2
AGASFER,535|577,86,0,0,0,0,0,0,0,0,1,0
Apprentice,535|570,9966,9944,500,0,321,156,1457,0,20,0,0
Apprentice,535|572,11583,10,10,522,44,243,0,58,5,0,0
Apprentice,529|575,10091,8181,423,0,203,0,914,0,20,0,0
Apprentice,528|576,9966,39,10,532,26,1076,0,180,6,0,0
Apprentice,532|574,9966,29,10,480,46,244,0,43,5,0,0
Apprentice,534|574,10375,9515,2081,0,306,0,1357,0,20,0,0
Apprentice,530|575,9966,47,10,480,40,243,0,30,7,0,0
Apprentice,535|571,10040,128,10,761,21,407,0,87,5,1,2
Apprentice,530|576,10178,10000,500,0,344,0,1471,0,20,0,0
Apprentice,535|575,11507,9474,481,0,339,0,1527,0,20,0,0
Apprentice,538|575,10040,10,10,521,42,271,0,55,5,1,0
Apprentice,528|577,10030,97,10,428,44,254,0,68,7,0,0
Apprentice,534|575,10040,157,10,890,43,445,0,80,7,0,0
Apprentice,536|574,10237,9922,9917,0,300,0,0,0,20,0,0
Apprentice,533|575,10401,157,10,992,39,529,0,142,5,0,0
Apprentice,528|578,9902,9104,490,0,385,0,996,0,20,0,0
Apprentice,526|579,9966,45,10,1284,34,1207,0,111,6,0,0
Apprentice,533|578,10495,104,10,480,44,248,0,75,5,0,0
Apprentice,515|583,10001,41,10,2286,34,1121,0,150,10,0,0
Apprentice,535|579,9966,9985,500,0,385,0,1693,0,20,0,0
Apprentice,535|578,9902,10000,500,0,361,0,1549,0,20,0,0
Apprentice,529|580,9988,78,10,300,44,203,0,53,7,0,0
Apprentice,537|577,9902,10,10,468,41,246,0,31,7,0,0
Apprentice,539|578,9966,9959,500,0,347,0,1550,0,20,0,0
Apprentice,538|576,10701,7008,358,0,164,0,756,0,20,0,0
Apprentice,537|578,9888,53,10,7000,50,2879,0,345,10,0,2
Apprentice,517|587,9966,10000,549,0,376,0,1183,0,20,0,0
Apprentice,531|582,9966,10,10,475,45,249,0,37,7,0,0
Apprentice,522|586,9976,66,10,1280,24,1116,0,115,5,0,0
Apprentice,533|579,9902,10,10,472,44,246,0,39,5,0,0
Apprentice,532|582,9902,10000,500,0,363,0,1549,0,20,0,0
Apprentice,527|585,9966,9943,856,0,351,0,1492,0,20,0,0
Apprentice,540|578,9902,113,10,474,44,254,0,37,5,0,0
Apprentice,545|581,9902,9918,9914,0,344,0,0,0,20,0,0
Apprentice,527|587,9902,9892,6809,0,300,0,0,0,20,0,0
Apprentice,544|581,9902,149,10,486,18,266,0,51,5,0,0
Apprentice,532|590,9885,10179,10215,0,336,0,0,0,0,0,0
Apprentice,544|582,9902,9978,7292,0,300,0,0,0,20,0,0
Apprentice,528|589,9885,9775,8472,0,463,0,0,0,0,0,0
Apprentice,532|578,7647,10,10,436,20,205,0,34,10,0,0
Apprentice,535|576,9109,9806,500,0,302,0,1633,0,20,0,0
Apprentice,534|576,5685,8407,8376,0,300,0,0,0,20,1,0
Apprentice,536|577,3202,50,10,2921,40,1188,0,106,0,0,0
Apprentice,510|515,11244,67,1,511,15,280,0,43,2,0,0
Apprentice,503|584,10043,10296,10288,0,325,0,0,0,20,0,0
Apprentice,504|583,9966,10638,10625,0,315,0,0,0,20,0,0
Apprentice,504|585,10043,10131,10142,0,306,0,0,0,20,0,0
Apprentice,500|585,9823,144,10,1280,28,1118,0,161,8,0,0
Apprentice,507|585,9966,10260,10153,0,389,0,0,0,20,0,0
Apprentice,548|587,9845,10329,10330,0,290,0,0,0,20,0,0
Apprentice,535|595,9902,6073,5250,0,300,0,0,0,20,0,0
Apprentice,543|591,9556,8240,8240,0,300,0,0,0,20,0,0
Apprentice,546|594,9500,10148,9863,0,300,0,0,0,20,0,0
Apprentice,488|605,10066,9648,9650,0,300,0,0,0,20,0,0
Apprentice,496|604,6650,6748,6753,0,300,0,0,0,20,0,0
Apprentice,496|605,6691,6681,6681,0,300,0,0,0,20,0,0
Apprentice,535|599,4394,4001,4003,0,300,0,0,0,20,0,0
Apprentice,485|606,9312,9761,9740,0,300,0,0,0,0,0,0
Apprentice,485|607,8088,6312,6271,0,300,0,0,0,20,0,0
Apprentice,510|547,9988,113,10,6588,49,2001,0,350,10,0,1
Apprentice,508|545,11318,37,10,353,30,679,0,35,5,0,1
Apprentice,511|548,10544,10000,501,0,312,0,1346,0,20,1,0
Apprentice,510|548,10237,179,10,6465,50,3000,0,331,10,1,1
Apprentice,510|557,10168,9986,500,0,345,0,638,0,20,0,0
Apprentice,512|553,10378,9395,500,0,369,0,1610,0,20,0,0
Apprentice,511|543,10237,54,10,489,44,253,0,42,5,0,0
Apprentice,511|550,10168,9951,500,0,350,0,1542,0,20,0,0
Apprentice,515|550,9966,3106,431,2818,31,453,205,211,10,0,1
Apprentice,515|556,9994,10000,500,0,348,0,1548,0,20,1,0
Apprentice,527|549,10058,160,10,2028,44,1060,0,161,10,0,0
Apprentice,525|545,10160,189,10,486,44,253,0,74,5,0,0
Apprentice,522|549,10301,204,10,478,44,260,0,41,5,0,0
Apprentice,530|553,11244,4453,300,0,177,0,641,0,15,0,0
Apprentice,531|561,10065,139,10,6799,48,2213,0,326,10,0,0
Apprentice,526|542,11594,58,140,1785,29,360,0,211,10,0,3
Apprentice,530|562,11993,4511,228,0,140,0,611,0,20,0,0
Apprentice,553|578,9962,2094,500,0,248,0,80,0,20,0,0
Apprentice,555|579,9902,3121,10,0,102,0,2841,0,9,0,0
Apprentice,559|574,10081,58,10,5502,50,2406,0,301,10,0,2
Apprentice,556|580,9886,150,10,486,9,266,0,157,5,0,1
Apprentice,555|581,9902,8118,8144,0,300,0,0,0,20,1,0
Apprentice,558|584,9902,10000,500,0,248,0,471,0,20,0,0
Audi Q4,464|565,9809,0,0,692,3,164,0,39,0,0,3
Audi Q4,471|570,9809,0,0,1211,1,120,0,55,0,0,4
Audi Q4,464|562,9427,10025,2664,0,700,81,0,10,299,1,1
Audi Q4,495|583,9399,0,0,243,0,133,0,27,0,1,0
Audi Q4,441|576,9809,0,0,225,10,120,0,25,0,0,3
Audi Q4,464|571,9427,11504,4575,0,550,151,0,10,245,0,0
Audi Q4,470|574,9427,8408,3495,0,551,108,0,10,180,0,0
Audi Q4,462|570,9809,0,0,243,7,133,0,64,0,1,3
Audi Q4,469|571,9427,12908,2165,0,553,92,0,10,17,0,0
Audi Q4,467|572,9809,0,0,219,4,120,0,25,0,0,3
Audi Q4,465|575,9427,15340,720,0,530,91,0,10,27,0,0
Audi Q4,459|564,9427,14964,1396,0,408,91,0,10,243,0,0
Audi Q4,465|571,9809,0,0,225,10,120,0,25,0,0,3
Audi Q4,462|578,9427,15397,319,0,458,91,0,10,254,0,0
Audi Q4,464|579,9427,14796,1024,0,462,640,0,10,15,0,1
Audi Q4,454|573,9427,12021,2466,0,534,90,0,10,246,0,0
Audi Q4,455|568,9809,0,0,219,5,1002,0,71,0,0,4
Audi Q4,461|572,9809,0,0,219,6,120,0,25,0,0,3
Audi Q4,453|571,9427,14969,1061,0,552,88,0,10,16,1,0
Audi Q4,460|575,9427,8053,6386,0,497,90,0,10,245,0,0
Audi Q4,470|572,9427,10080,2464,0,506,500,0,10,76,0,1
Audi Q4,463|578,9809,0,0,219,2,120,0,25,0,0,3
Audi Q4,479|591,9427,15602,618,0,495,87,0,10,13,0,0
Audi Q4,438|568,9427,13137,2659,0,600,86,0,10,299,0,0
Audi Q4,469|574,9427,14302,1630,0,500,82,0,10,15,0,0
Audi Q4,464|564,9427,11032,2925,0,490,87,0,10,245,0,0
Audi Q4,466|563,9427,5000,1495,0,559,103,0,10,299,0,0
Audi Q4,461|565,9809,0,0,225,6,164,0,25,0,0,4
Audi Q4,456|574,9809,0,0,219,5,120,0,25,0,0,3
Audi Q4,456|571,9469,4847,513,0,400,106,0,10,299,1,0
Audi Q4,449|593,9809,0,0,225,10,120,0,25,0,0,3
Audi Q4,499|605,9427,5117,317,0,500,700,0,10,299,0,0
Audi Q4,430|578,9427,5352,1995,0,500,700,0,10,16,0,0
Audi Q4,472|603,9809,0,0,219,2,120,0,25,0,0,4
Audi Q4,454|597,9427,7700,7705,0,460,700,0,10,299,1,1
Audi Q4,448|591,9427,4577,837,0,266,102,0,10,16,0,0
Corvhael,522|541,11681,0,0,934,186,444,0,0,8,0,2
Corvhael,537|555,11681,0,0,557,283,272,0,0,5,0,0
Corvhael,498|542,11681,0,0,650,234,354,0,0,0,0,0
Corvhael,506|537,10339,0,0,690,67,342,0,75,0,1,2
Corvhael,517|543,10339,0,0,693,82,376,0,147,0,1,2
Corvhael,501|555,10339,9807,9889,0,290,0,0,3,19,0,0
Corvhael,500|551,10339,0,0,746,90,380,0,92,5,0,2
Corvhael,495|550,10339,0,0,137,62,81,0,22,0,1,0
Corvhael,493|550,10339,0,0,539,75,298,0,69,0,0,2
Corvhael,493|551,10339,0,0,582,76,290,0,68,0,0,2
Corvhael,500|552,10339,0,0,742,71,401,0,90,4,0,2
Corvhael,500|553,10339,0,0,761,78,417,0,94,0,0,2
Corvhael,515|551,10339,0,0,606,41,332,0,217,5,0,2
Corvhael,501|554,10339,0,0,761,98,409,0,98,0,0,2
Corvhael,516|555,10339,0,0,606,90,332,0,500,0,0,2
Corvhael,514|554,10339,0,0,666,81,335,0,131,0,0,2
Corvhael,510|549,10339,9902,9895,0,300,0,0,0,20,1,0
Corvhael,519|555,10339,0,0,627,90,323,0,76,0,0,2
Corvhael,523|554,10339,9924,9878,1,300,1,0,0,20,0,0
Corvhael,517|556,10339,0,0,698,85,323,0,76,0,0,2
Corvhael,501|558,10339,0,0,710,81,381,0,90,0,0,2
Corvhael,516|558,10339,0,0,1043,82,572,0,134,5,0,2
Corvhael,518|555,10339,0,0,600,90,323,0,76,0,0,2
Corvhael,512|552,10339,0,0,619,82,340,0,132,0,0,2
Corvhael,525|555,10339,0,0,785,71,339,0,78,0,0,2
Corvhael,524|557,10339,33,0,600,83,323,0,76,0,0,2
Corvhael,524|555,10339,9795,9918,0,290,0,0,0,19,0,0
Corvhael,521|558,10339,0,0,647,80,323,0,76,0,0,2
Corvhael,519|557,10339,0,0,617,89,339,0,79,0,0,2
Corvhael,514|558,10339,9303,9260,2,300,0,0,0,20,0,0
Corvhael,520|558,10339,0,0,600,90,323,0,76,0,0,2
Corvhael,518|559,10339,9816,9892,0,290,0,0,1,19,0,0
Corvhael,513|560,10339,0,0,1020,82,559,0,128,2,0,2
Corvhael,518|553,10339,0,0,666,45,338,0,78,0,0,2
Corvhael,518|560,10339,0,0,1020,82,559,2,128,2,0,2
Corvhael,504|537,10339,0,0,700,89,369,0,88,0,1,2
Corvhael,494|551,10339,0,0,529,81,290,0,68,0,0,2
Corvhael,534|553,10339,0,3,153,20,67,0,18,0,1,0
Corvhael,515|563,10339,0,0,550,94,300,0,70,5,0,2
Corvhael,512|555,10339,0,0,974,87,547,0,123,2,0,1
Corvhael,517|563,10339,0,0,970,80,530,0,120,3,0,2
Corvhael,518|562,10339,9799,9898,2,290,0,0,0,19,1,0
Corvhael,518|564,10339,0,0,6122,110,2800,0,500,5,0,2
Corvhael,527|561,10339,0,0,545,100,305,0,500,0,0,2
Corvhael,511|564,10339,0,0,2745,110,2435,0,328,0,0,2
Corvhael,523|560,10339,0,0,550,90,300,0,70,0,0,2
Corvhael,517|557,10339,0,0,611,95,303,0,71,0,0,2
Corvhael,516|565,10339,0,0,118,83,66,0,15,0,0,0
Corvhael,521|562,10339,0,3,972,96,547,0,127,20,0,2
Corvhael,510|566,10339,0,0,888,82,481,0,109,4,0,2
Corvhael,498|553,10339,0,0,116,84,64,0,15,0,0,0
Corvhael,519|564,10339,0,0,950,79,516,0,117,4,0,2
Corvhael,515|566,10339,0,3,411,101,87,0,21,0,0,0
Corvhael,517|567,10339,0,0,967,79,521,0,119,4,0,2
Corvhael,515|568,10339,0,0,994,79,552,0,128,0,0,1
Corvhael,514|567,10339,0,3,960,82,525,0,124,0,0,1
Corvhael,518|566,10339,9816,9895,0,290,0,0,0,19,0,0
Corvhael,527|563,10339,0,1,940,82,515,0,121,5,0,2
Corvhael,516|568,10339,0,3,792,83,434,0,165,0,0,1
Corvhael,523|565,10339,0,3,979,82,537,0,121,4,0,1
Corvhael,531|555,10339,0,0,134,20,63,0,17,0,1,0
Corvhael,509|568,10339,0,0,1677,80,360,0,407,5,0,2
Corvhael,507|578,10339,0,3,1137,80,1202,0,438,5,0,2
Corvhael,517|570,10339,0,0,1078,79,528,0,121,4,0,1
Corvhael,517|549,10339,7892,7320,0,300,0,0,3,20,1,1
Corvhael,537|554,10339,9330,9326,0,300,0,0,0,20,1,0
Corvhael,514|596,10339,0,0,836,99,1074,0,405,0,0,2
Corvhael,543|577,10339,9767,9803,0,300,0,25,0,20,0,0
Corvhael,543|585,10339,9592,9604,0,300,24,0,0,20,0,0
Corvhael,522|595,10339,9909,9898,0,300,0,0,0,20,0,0
Corvhael,535|596,10339,9896,9911,0,300,0,0,0,20,0,0
Corvhael,544|591,10339,9881,9926,0,300,0,0,0,20,0,0
Corvhael,514|607,2834,0,0,1659,80,227,0,0,0,0,0
Corvhael,519|587,10339,0,0,573,89,293,0,67,0,0,2
Corvhael,536|584,10339,9903,9877,0,300,0,0,0,20,0,0
Corvhael,546|578,11681,3825,3995,0,280,0,32,0,18,0,0
Corvhael,540|584,10339,9786,9885,3,290,0,0,0,19,0,0
Corvhael,530|588,10339,0,0,476,99,253,0,61,19,0,0
Corvhael,536|586,10339,9899,9908,0,300,0,0,0,20,0,0
Corvhael,522|591,10339,9787,9892,0,290,0,0,0,19,0,0
Corvhael,526|591,10339,9772,9820,0,300,0,26,0,20,0,0
Corvhael,523|591,10339,0,0,696,100,321,0,79,0,0,2
Corvhael,512|594,10339,8585,8554,0,300,4,442,0,20,0,0
Corvhael,535|587,10339,9904,9903,0,300,0,0,0,20,0,0
Corvhael,517|595,10339,10399,10368,0,300,0,0,0,20,0,0
Corvhael,516|593,10339,0,0,6802,110,2761,0,500,0,0,0
Corvhael,528|592,10339,0,0,672,85,315,0,77,0,0,2
Corvhael,518|594,10339,9892,9915,0,300,0,0,0,20,0,0
Corvhael,530|592,10339,9892,9982,0,259,0,0,3,20,0,0
Corvhael,511|594,10339,0,0,2389,80,1094,0,403,0,0,2
Corvhael,541|588,10339,0,0,266,100,98,0,24,0,0,0
Corvhael,525|591,10339,0,0,3236,110,2437,0,463,5,0,2
Corvhael,531|590,10339,0,0,1110,80,606,0,138,3,0,2
Corvhael,525|593,10339,9901,9906,0,300,0,0,0,20,0,0
Corvhael,542|586,10339,9838,9910,0,300,0,0,0,20,0,0
Corvhael,542|587,10339,0,0,216,78,92,0,21,20,0,0
Corvhael,539|591,10339,9887,9920,0,300,0,0,0,20,0,0
Corvhael,525|594,10339,0,0,503,80,280,0,64,0,0,2
Corvhael,529|595,10339,9922,9885,0,300,0,0,0,20,0,0
Corvhael,540|589,10339,0,0,266,89,101,0,24,5,0,0
Corvhael,535|594,10339,9895,9897,0,300,0,0,0,20,0,0
Corvhael,511|600,10339,0,0,1024,80,319,0,357,0,0,2
Corvhael,554|586,10339,9885,9922,0,300,0,0,0,20,0,0
Corvhael,526|597,10339,9373,9422,0,300,0,0,0,20,0,0
Corvhael,513|597,10339,5834,5828,0,300,0,0,0,20,0,0
Corvhael,547|589,10339,9903,9904,0,300,0,0,0,20,0,0
Corvhael,545|593,10339,9898,9909,0,300,0,0,0,20,0,0
Corvhael,532|597,10339,0,0,1283,75,632,0,147,3,0,1
Corvhael,525|598,10339,0,0,679,80,320,0,74,0,0,2
Corvhael,552|586,10339,9840,9891,0,300,0,0,0,20,0,0
Corvhael,539|596,10339,9849,9876,0,300,0,0,0,20,0,0
Corvhael,520|603,10339,0,0,1502,80,326,0,414,2,0,2
Corvhael,526|601,10339,0,0,7906,110,2485,0,500,0,0,0
Corvhael,521|601,10339,0,0,676,80,343,0,80,0,0,2
Corvhael,515|597,7402,0,0,608,90,301,0,64,0,0,0
Corvhael,524|605,10339,41,26,696,84,328,0,79,0,0,2
Corvhael,538|601,10339,46,0,186,84,100,0,18,0,0,0
Corvhael,519|606,10339,0,0,3507,80,369,0,412,0,0,2
Corvhael,533|603,10339,0,0,694,94,355,0,83,0,0,2
Corvhael,517|605,9354,0,0,1057,90,285,0,54,0,0,0
Corvhael,473|606,7188,0,0,2273,90,327,0,59,0,0,0
Damosha,491|585,10311,10634,10624,0,0,0,0,0,0,0,0
Damosha,493|538,11151,4300,4003,0,280,0,0,5,0,1,2
Damosha,451|512,10311,17763,1347,0,350,0,0,5,0,0,0
Damosha,492|535,9809,0,0,482,5,262,0,44,5,0,3
Damosha,489|540,9809,0,0,839,6,426,0,95,0,0,3
Damosha,493|534,10019,0,0,528,7,367,0,80,0,0,3
Damosha,463|507,10311,15046,1621,0,350,0,588,5,0,0,0
Damosha,495|539,10311,9667,3358,0,6,0,0,1,0,1,0
Damosha,489|534,9809,0,0,527,0,303,0,53,5,0,5
Damosha,470|521,11216,7218,10,0,800,0,0,5,0,0,0
Damosha,492|537,10297,0,0,515,40,276,0,52,5,0,2
Damosha,492|533,10054,0,0,514,0,296,0,51,5,1,3
Damosha,488|539,10311,9315,5782,0,175,0,795,0,0,1,0
Damosha,489|533,9835,0,0,456,0,264,0,455,5,0,5
Damosha,459|520,10311,7919,2164,0,743,0,531,4,0,0,0
Damosha,455|529,10311,0,0,6292,161,2835,0,386,5,0,2
Damosha,463|530,10311,0,0,1724,73,366,0,111,5,0,3
Damosha,455|515,10311,9992,9348,0,231,0,35,0,0,0,0
Damosha,460|528,10311,0,0,2016,134,565,0,136,5,0,3
Damosha,463|531,10311,0,0,1630,37,319,0,100,5,0,3
Damosha,466|536,10311,8741,1843,0,430,0,1330,0,0,0,0
Damosha,455|516,10311,15651,5369,0,306,0,0,5,0,1,0
Damosha,461|529,9614,0,0,731,84,384,0,80,5,0,0
Damosha,451|511,10311,14974,1636,0,350,0,722,5,0,0,0
Damosha,460|530,9698,0,0,1633,4,359,0,117,5,0,1
Damosha,461|531,4553,0,0,614,20,252,0,68,0,1,0
Damosha,448|513,10311,12227,882,0,350,0,523,5,0,0,0
Damosha,450|510,10311,14819,1551,0,350,0,0,5,0,0,0
Damosha,448|511,10311,11483,9119,0,350,0,0,5,0,0,0
Damosha,448|515,10311,15526,1696,0,350,0,349,5,0,0,0
Damosha,451|518,10311,9924,9473,0,270,0,0,4,0,1,0
Damosha,445|516,10311,0,0,1490,138,1402,0,155,5,0,4
Damosha,447|506,11653,7505,10,0,540,0,0,5,0,0,0
Damosha,446|508,10126,11307,9555,0,350,0,0,5,0,0,0
Damosha,447|512,10311,11059,1175,0,350,0,474,5,0,0,0
Damosha,446|512,10311,6401,632,0,350,0,402,5,0,0,0
Damosha,443|517,10311,15896,1195,0,350,0,532,5,0,0,0
Damosha,466|532,9851,0,0,1180,26,555,0,73,5,0,3
Damosha,440|516,10311,13407,2001,0,350,0,369,5,0,0,0
Damosha,448|507,10311,16802,1842,0,350,0,383,5,0,0,0
Damosha,444|510,10311,13987,1503,0,350,0,867,5,0,0,0
Damosha,455|514,10210,0,0,3482,202,659,0,268,5,0,4
Damosha,435|512,10311,9290,9233,0,0,0,0,0,0,0,0
Damosha,428|513,10311,9277,9251,0,350,0,0,5,0,0,0
Damosha,428|525,10311,9688,9691,0,350,0,0,5,0,0,0
Damosha,428|524,10311,9724,9698,0,350,0,0,5,0,0,0
Damosha,426|515,10311,6897,6579,0,350,0,0,5,0,0,0
Damosha,427|521,10311,9270,9279,0,350,0,0,5,0,0,0
Damosha,425|521,10311,9258,9279,0,350,0,0,5,0,0,0
Damosha,426|526,10311,9236,9227,0,350,0,0,5,0,0,0
Damosha,425|515,10311,7619,7228,0,350,0,0,5,0,0,0
Damosha,424|520,10311,9312,9287,0,350,0,0,5,0,0,0
Damosha,426|524,10311,9510,9534,0,350,0,0,5,0,0,0
Damosha,433|542,4186,0,0,9387,65,2804,0,1000,0,0,0
Damosha,426|519,10311,9050,9083,0,350,0,0,5,0,0,0
Damosha,423|523,10311,9648,9663,0,350,0,0,5,0,0,0
