Игрок;Координаты;Очки;Копья;Мечи;Топоры;Лазы;ЛК;ТК;Тараны;Каты;Пал;Двор
AdreNoliN;453|550;5494;0;0;11373;65;1749;0;939;0;1;0
AdreNoliN;442|539;6911;11008;7775;0;703;0;0;17;0;0;0
AdreNoliN;442|553;5494;0;0;10258;33;1932;0;953;0;1;0
AdreNoliN;432|570;5470;0;0;9422;69;2408;0;836;0;1;0
AdreNoliN;441|587;6852;10828;10617;0;203;0;0;1;0;0;0
AdreNoliN;404|553;5470;0;0;9921;25;2978;0;855;0;1;0
AdreNoliN;445|593;6801;12031;8729;0;514;0;0;28;0;0;0
AdreNoliN;439|540;6835;11110;10061;0;343;0;0;1;0;0;0
AdreNoliN;430|541;6849;11144;10137;0;284;0;0;1;0;0;0
AdreNoliN;427|548;6849;10502;10180;0;580;0;0;2;0;0;0
AdreNoliN;436|562;6849;10891;9920;0;519;0;0;1;0;0;0
AdreNoliN;428|555;6849;10754;9929;0;581;0;0;1;0;0;0
AdreNoliN;487|596;6863;7002;10554;0;485;0;0;6;0;0;0
AdreNoliN;398|531;6669;11235;9372;0;630;0;0;25;0;0;0
AdreNoliN;398|524;6646;9950;10167;0;972;0;0;21;0;0;0
AdreNoliN;416|566;6835;10375;7099;0;943;0;0;4;0;0;0
AdreNoliN;440|541;6828;11543;10233;0;501;0;0;9;0;0;0
AdreNoliN;432|538;7654;0;0;7017;29;2167;0;445;0;0;5
Apprentice;535|570;9966;9379;696;0;293;0;1632;0;20;0;0
Apprentice;535|572;11583;10;10;6350;50;3000;0;300;10;0;2
Apprentice;529|575;9966;9997;500;0;346;0;1544;0;20;0;0
Apprentice;528|576;9923;10;10;6947;50;2996;0;299;10;0;0
Apprentice;532|574;9966;10;10;6913;50;3000;0;300;10;0;0
Apprentice;534|574;10375;9325;493;0;378;0;1630;0;20;0;0
Apprentice;530|575;9966;10;10;6913;50;3000;0;300;10;0;0
Apprentice;535|571;10040;10;10;8886;50;2283;0;1000;10;1;0
Apprentice;530|576;10178;9945;483;0;350;0;1554;0;20;0;0
Apprentice;535|575;11550;9994;500;0;323;0;1440;0;20;0;0
Apprentice;538|575;10040;10;10;9087;50;2283;0;1000;10;0;0
Apprentice;528|577;10030;10;10;7000;50;2966;0;300;10;0;0
Apprentice;534|575;10040;10;10;6011;50;3000;0;300;10;0;0
Apprentice;536|574;10237;9901;9941;0;298;0;0;0;20;0;0
Apprentice;538|574;10078;9888;500;0;347;0;1561;5;20;0;0
Apprentice;533|575;10401;10;10;6861;50;3000;0;300;10;0;0
Apprentice;528|578;9902;9985;491;0;354;0;1556;0;20;0;0
Apprentice;526|579;9966;10;10;7000;50;2965;0;300;10;0;0
Apprentice;533|578;10495;8;8;5003;50;2723;0;300;10;0;0
Apprentice;515|583;10001;473;10;7000;50;2836;25;300;10;0;0
Apprentice;535|579;9966;10000;500;0;289;0;1292;0;20;0;0
Apprentice;535|578;9902;9930;500;0;347;0;1566;0;20;0;0
Apprentice;529|580;9988;10;10;6925;50;2996;0;299;10;0;0
Apprentice;537|577;9902;10;10;6980;50;3000;0;300;10;0;0
Apprentice;539|578;9966;8109;490;0;306;0;1347;0;20;0;0
Apprentice;538|576;11020;6235;224;0;154;0;652;0;20;0;0
Apprentice;537|578;9902;9;9;5430;50;2902;0;300;10;0;0
Apprentice;517|587;9966;10000;500;0;344;0;1544;0;20;0;0
Apprentice;531|582;9966;10;10;5915;50;3000;0;300;10;0;0
Apprentice;522|586;9976;10;10;7000;50;2920;0;300;45;0;0
Apprentice;533|579;9902;10;10;6157;50;3000;0;300;10;0;0
Apprentice;532|582;9902;9992;1790;0;334;0;1505;0;20;0;0
Apprentice;527|585;9966;9174;495;0;361;0;1677;0;20;0;0
Apprentice;540|578;9902;7895;491;0;5167;0;0;0;20;0;0
Apprentice;532|584;10262;10;10;5407;50;2895;0;300;10;0;0
Apprentice;536|579;9290;10;10;2837;40;1448;0;259;10;0;0
Apprentice;545|581;9902;9798;9810;0;288;0;56;0;20;0;0
Apprentice;527|587;9902;7429;7435;0;300;0;131;0;20;0;0
Apprentice;544|581;9976;10;10;7000;50;2990;0;300;10;0;0
Apprentice;532|590;9902;9215;9204;0;523;0;0;0;0;1;0
Apprentice;544|582;9902;7798;7770;0;300;0;22;0;20;0;0
Apprentice;528|589;9902;10165;10165;0;415;0;0;0;0;0;0
Apprentice;532|578;9924;10;10;6982;50;2998;0;300;10;0;0
Apprentice;535|576;9902;9523;491;0;372;0;1627;0;20;0;0
Apprentice;534|576;9690;9505;9474;0;300;0;0;0;20;0;2
Apprentice;536|577;9637;10;10;5448;50;2630;0;300;0;0;1
Apprentice;535|577;9457;9994;495;0;272;0;1612;0;20;0;0
Apprentice;510|515;11244;10;10;2003;26;1442;0;170;10;0;3
Apprentice;530|525;10157;10;10;4088;45;2191;0;300;10;0;0
Apprentice;529|525;10237;8555;464;0;379;0;1718;0;20;0;0
Apprentice;543|524;11486;10;7;2201;24;1216;0;300;10;0;2
Apprentice;541|521;10301;10;10;4219;50;2249;0;300;10;0;0
Apprentice;440|436;10301;3822;194;0;212;0;884;0;20;0;2
Apprentice;441|436;9939;370;50;0;20;0;56;0;19;0;0
Apprentice;443|431;10301;7;7;1365;27;975;0;210;10;0;1
Apprentice;440|435;9902;105;50;1200;29;680;0;107;10;0;0
Apprentice;444|433;10334;250;50;0;283;0;0;0;20;0;0
Apprentice;448|434;10160;332;50;0;20;0;81;0;20;0;0
Apprentice;446|432;10351;2380;145;0;168;0;693;0;20;0;1
Apprentice;443|434;9902;1995;114;0;91;0;407;0;20;0;2
Apprentice;503|584;10043;10483;10449;0;205;0;0;0;19;0;0
Apprentice;504|583;9966;10636;10677;0;290;0;0;0;20;0;0
Apprentice;504|585;10043;9892;9882;0;300;0;0;0;20;0;0
Apprentice;500|585;9902;10;20;7000;50;2992;0;300;10;0;0
Apprentice;507|585;9966;9971;9972;0;255;0;0;0;20;0;0
Apprentice;505|593;9923;10;10;7000;50;2964;0;300;10;0;0
Apprentice;503|594;11550;173;29;6500;50;2825;43;300;10;0;0
Apprentice;505|598;9923;9906;9893;0;300;0;0;0;20;0;0
Apprentice;505|599;11550;7693;7689;0;300;0;314;0;20;0;0
Apprentice;548|587;9902;8731;8742;0;300;0;0;0;105;0;0
Apprentice;501|596;11550;8831;8849;0;300;0;250;0;20;0;0
Apprentice;512|598;11550;8780;8760;0;241;0;293;0;20;0;0
Apprentice;510|598;11550;90;10;6980;50;2795;0;300;10;0;0
Apprentice;509|601;11321;8730;8715;0;245;0;320;0;17;0;0
Apprentice;543|591;9902;9731;9749;0;243;0;199;0;60;0;0
Apprentice;546|594;9902;10189;10211;0;300;0;0;0;20;0;0
Apprentice;488|605;10066;9349;9338;0;300;0;0;0;20;0;0
Apprentice;496|604;9690;9995;9999;0;287;0;0;0;20;0;0
Apprentice;496|605;9782;9786;9809;0;475;0;0;0;20;0;0
Apprentice;485|606;9902;10414;10430;0;398;0;0;0;0;0;0
Apprentice;485|607;9707;9702;9697;0;338;0;0;0;20;0;0
Apprentice;460|599;9707;10353;10330;0;300;0;0;0;20;0;0
Apprentice;457|602;9902;9947;9973;0;300;0;0;0;20;0;0
Apprentice;464|605;9902;10230;10250;0;300;0;0;0;20;0;4
Apprentice;535|595;9902;9700;9692;0;300;0;208;0;20;0;0
Apprentice;535|599;9654;9924;9934;0;621;0;0;0;20;0;0
Apprentice;450|475;10117;7238;369;0;342;0;1453;0;20;0;0
Apprentice;455|469;10393;5140;299;0;253;0;1073;0;20;0;0
Apprentice;455|467;11566;3165;170;0;184;0;796;0;20;1;3
Apprentice;454|468;10160;10;10;6723;50;3000;0;300;10;0;2
Apprentice;448|477;9912;7238;387;0;352;0;1544;0;20;0;0
Apprentice;446|477;9955;10;10;4560;46;2106;0;272;10;0;0
Apprentice;449|469;10544;6555;348;0;253;0;1101;0;20;0;0
Apprentice;448|467;10452;6791;383;0;323;0;1164;0;20;0;2
Apprentice;443|476;9902;10;10;6795;50;3000;0;297;10;0;2
Apprentice;452|462;10160;7;7;3695;44;2440;0;300;10;0;0
Apprentice;444|474;9584;5090;263;0;290;0;1096;0;20;0;0
Apprentice;445|475;11244;3111;187;0;161;0;667;0;20;0;0
Apprentice;449|466;10452;10;10;6835;50;2911;0;300;10;0;0
Apprentice;450|465;10160;6680;355;0;333;0;1432;0;20;0;0
Apprentice;443|473;9912;6952;371;0;366;0;1612;0;20;0;0
Apprentice;450|464;10160;10;10;5630;50;3000;0;300;10;0;2
Apprentice;445|474;9912;10;10;4178;42;2018;0;264;10;0;2
Apprentice;454|458;10160;383;50;0;20;0;93;0;20;0;0
Apprentice;439|477;9924;3912;350;0;214;0;896;0;20;0;0
Apprentice;443|469;10452;10;10;6535;50;3000;0;300;10;0;2
Apprentice;453|467;10109;6195;350;0;315;0;1346;0;20;0;0
Apprentice;442|472;10452;3764;245;0;239;0;1006;0;20;0;0
Apprentice;444|469;10452;5452;311;0;266;0;1175;0;20;0;1
Apprentice;439|478;9344;3300;353;0;201;0;858;0;20;0;0
Apprentice;439|469;10452;7309;368;0;349;0;1568;0;20;0;0
Apprentice;440|470;10299;10;10;7000;38;2116;0;300;10;0;0
Apprentice;437|472;9894;3875;273;0;228;0;854;0;20;0;0
Apprentice;447|472;9692;771;7;4651;50;2107;0;223;10;0;2
Apprentice;442|475;10409;10;10;1371;31;740;0;142;10;0;0
Apprentice;439|470;10544;10;10;6100;50;3000;0;300;10;0;2
Apprentice;448|475;10117;10;10;7000;22;710;0;300;10;0;1
Apprentice;440|471;10452;7779;391;0;322;0;1446;0;20;0;0
Apprentice;445|477;9976;7438;420;0;355;0;1520;0;20;0;0
Apprentice;439|472;10246;10;10;5845;47;2515;0;300;10;0;0
Apprentice;438|475;9902;10;10;6900;50;3000;0;276;10;0;2
Apprentice;439|473;10452;4903;335;0;301;0;1053;0;20;0;0
Apprentice;453|466;10224;7;7;4858;50;2649;0;300;10;0;1
Apprentice;437|469;10452;4810;254;0;268;0;1172;0;20;0;0
Apprentice;444|471;9984;19;10;7000;50;2955;0;300;10;0;0
Apprentice;437|468;10452;10;10;7000;48;2351;0;300;10;1;2
Apprentice;446|474;9450;4038;246;0;296;0;1322;0;20;0;0
Apprentice;456|469;9923;10;10;6225;50;3000;0;300;10;0;2
Apprentice;450|444;10833;4068;4048;0;343;0;0;0;20;1;0
Apprentice;427|460;9841;6021;308;0;296;0;1279;0;20;0;0
Apprentice;428|458;10378;7972;432;0;381;0;1712;0;20;0;0
Apprentice;430|456;10371;6690;349;0;292;0;1315;0;0;0;0
Apprentice;426|460;9841;6941;363;0;357;0;1526;0;20;0;0
Apprentice;427|457;10431;10;10;2755;50;3000;0;211;10;0;0
Apprentice;430|455;9902;10;10;2363;50;3000;0;145;10;0;1
Apprentice;429|455;9931;5993;300;0;291;0;1274;0;0;0;0
Apprentice;425|454;10160;6963;395;0;354;0;1518;0;20;0;0
Apprentice;437|473;9902;10;10;6809;50;3000;0;300;10;0;0
Apprentice;511|542;10237;10;10;2719;35;1480;0;300;10;0;0
Apprentice;510|547;9988;43;10;7000;50;1986;0;300;10;0;0
Apprentice;512|541;10237;9325;466;0;331;0;1436;0;20;0;0
Apprentice;514|542;10237;10;10;3120;45;1542;0;232;10;0;2
Apprentice;508|545;11318;48;7;3239;18;1094;0;243;10;0;0
Apprentice;517|546;10237;8569;450;0;400;0;1770;0;20;0;0
Apprentice;511|548;10544;9489;500;0;360;0;1579;0;20;0;0
Apprentice;510|548;10237;27;10;7000;50;1987;0;300;10;0;0
Apprentice;510|557;10168;9891;500;0;902;0;1368;0;20;0;0
Apprentice;512|553;10378;9168;485;0;363;0;1604;0;55;1;0
Apprentice;511|544;10237;9596;495;0;363;0;1602;0;20;1;0
Apprentice;511|543;10237;10;10;2711;35;1527;0;300;10;0;8
Apprentice;511|550;10168;10000;500;0;398;0;1717;0;20;0;0
Apprentice;507|544;10237;10;10;7000;50;1984;0;300;10;0;0
Apprentice;515|550;9966;10;10;7000;50;1901;0;300;10;0;0
Apprentice;515|556;9994;10000;500;0;350;0;1549;0;20;0;0
Apprentice;515|547;11579;3994;200;0;180;0;713;0;20;0;0
Apprentice;527|549;10058;105;60;7000;50;1993;0;300;10;0;2
Apprentice;525|545;10160;640;60;6964;50;1996;140;300;10;0;0
Apprentice;522|549;10301;148;10;7000;50;1985;0;300;10;0;0
Apprentice;530|553;11244;5979;300;0;176;0;383;0;18;0;0
Apprentice;531|561;10065;41;10;6298;44;2148;0;300;10;0;2
Apprentice;526|542;11594;152;139;3156;31;976;0;300;10;0;0
Apprentice;530|562;11993;4969;254;0;75;0;552;0;20;0;0
Apprentice;553|578;9902;10000;500;0;257;0;1551;0;20;0;2
Apprentice;555|579;9902;500;39;0;200;0;3261;0;20;1;0
Apprentice;559|574;10246;10;10;5001;50;2237;0;300;10;0;0
Apprentice;556|580;9902;47;38;6765;50;3000;0;250;10;0;4
Apprentice;558|584;9902;10000;500;0;352;0;1552;0;20;0;0
Apprentice;464|602;3384;2208;150;0;0;0;0;0;0;0;0
Apprentice;530|606;5594;6937;6888;0;300;0;0;0;0;0;0
Apprentice;513|610;8596;6627;6631;0;300;0;0;0;0;0;0
Apprentice;536|606;1963;0;0;0;0;0;0;0;0;0;0
Apprentice;534|577;913;0;0;0;0;0;0;0;0;0;0
Audi Q4;464|565;9771;0;0;7433;10;2713;0;400;0;0;4
Audi Q4;471|570;9771;0;0;10875;10;1350;0;800;0;1;4
Audi Q4;464|562;9353;9918;6150;2000;500;798;0;10;0;1;4
Audi Q4;495|583;9771;0;0;7643;10;2351;0;400;0;0;4
Audi Q4;441|576;9771;0;0;7642;10;2349;0;400;0;0;4
Audi Q4;464|571;9353;10306;5532;2000;500;798;0;10;0;0;0
Audi Q4;470|574;9353;8039;8039;2000;500;798;0;10;0;0;4
Audi Q4;462|570;9771;0;0;7642;10;2321;0;400;0;0;4
Audi Q4;469|571;9353;10803;5275;2000;500;798;0;10;0;0;4
Audi Q4;467|572;9771;0;0;7642;10;2321;0;400;0;0;4
Audi Q4;465|575;9353;11962;3395;2000;500;798;0;10;0;0;0
Audi Q4;459|564;9353;12481;3597;2000;500;798;0;10;0;0;0
Audi Q4;465|571;9771;0;0;7642;10;2321;0;400;0;0;4
Audi Q4;462|578;9353;10402;4393;2000;500;798;0;10;0;0;4
Audi Q4;464|579;9353;9888;3487;2000;500;798;0;10;0;0;4
Audi Q4;454|573;9353;10070;5528;2000;500;798;0;10;0;0;0
Audi Q4;455|568;9771;0;0;7901;10;2528;0;400;0;0;4
Audi Q4;461|572;9771;0;0;7642;10;2321;0;400;0;0;4
Audi Q4;453|571;9353;14505;1289;2000;500;798;0;10;0;0;0
Audi Q4;460|575;9353;8139;8136;2000;500;798;0;10;0;0;0
Audi Q4;470|572;9353;7736;7862;2000;500;798;0;10;0;0;4
Audi Q4;463|578;9771;0;0;7642;10;2221;0;400;0;0;4
Audi Q4;479|591;9353;8820;3164;2000;500;798;0;10;0;0;4
Audi Q4;438|568;9353;10515;5323;2000;500;798;0;10;0;0;4
Audi Q4;469|574;9353;8559;4508;2000;500;798;0;10;0;0;0
Audi Q4;464|564;9353;7799;7799;2000;500;798;0;10;0;0;4
Audi Q4;466|563;9353;8130;7948;2000;500;798;0;10;0;0;4
Audi Q4;461|565;9771;0;0;7901;10;2529;0;400;0;0;4
Audi Q4;456|574;9771;0;0;7647;10;2321;0;400;0;0;4
Audi Q4;456|571;9395;7178;8160;2000;500;798;0;10;0;1;0
Audi Q4;449|593;9771;0;0;6501;10;2946;0;400;0;0;4
Audi Q4;499|605;9353;7919;7048;2000;500;798;0;10;0;0;4
Audi Q4;430|578;9353;7799;7799;2000;500;798;0;10;0;0;0
Audi Q4;472|603;9771;0;0;7647;10;2347;0;400;0;0;4
Audi Q4;454|597;9353;8010;7828;2000;500;798;0;10;0;0;0
Audi Q4;448|591;9353;7799;7799;2000;500;798;0;10;0;0;4
Audi Q4;431|578;9353;3645;2348;2000;500;798;0;10;0;0;0
Audi Q4;467|569;9771;0;0;8152;10;2530;0;400;0;0;0
Audi Q4;449|592;9771;0;0;6501;10;2946;0;400;0;0;0
Audi Q4;449|589;9353;2875;2488;2000;500;798;0;10;0;0;0
Audi Q4;490|584;9353;3531;1893;2000;500;798;0;10;0;0;4
Audi Q4;467|598;9353;2221;2666;2000;500;798;0;10;0;0;0
Audi Q4;480|602;9353;2536;2232;2000;500;798;0;10;0;0;0
Audi Q4;416|567;3365;100;100;33;0;0;0;0;0;0;0
Audi Q4;533|537;9865;7316;7316;1500;500;798;0;10;0;1;3
Audi Q4;533|513;10297;0;0;7813;10;2429;0;400;0;1;4
Audi Q4;500|528;9907;6566;5251;2000;500;798;0;10;0;1;4
Audi Q4;511|531;10247;0;0;7743;10;2539;0;400;0;0;5
Audi Q4;531|528;10597;0;0;5144;10;2576;0;400;0;0;4
Audi Q4;542|527;12354;2334;2333;0;500;0;500;10;0;1;1
Audi Q4;532|528;10247;0;0;7547;500;2296;0;400;0;0;4
Audi Q4;513|532;9953;2500;1970;300;500;798;0;10;0;0;4
Corvhael;448|418;10480;100;10;0;20;0;16;0;7;0;0
Corvhael;449|418;9914;100;10;0;20;0;20;0;0;0;0
Corvhael;456|418;11901;100;10;0;20;0;20;0;10;0;0
Corvhael;522|541;11681;0;0;4071;40;1065;0;97;8;0;0
Corvhael;537|555;11681;0;0;3268;146;1235;0;84;5;0;0
Corvhael;498|542;11681;0;0;2992;55;1392;0;50;5;0;0
Corvhael;524|496;11681;0;0;3716;57;1179;0;70;8;0;0
Corvhael;506|537;10339;0;0;7331;110;2605;0;500;12;0;0
Corvhael;510|537;10339;0;0;5545;100;2482;0;500;15;0;0
Corvhael;516|504;10339;0;0;7767;110;2332;0;650;0;0;0
Corvhael;501|555;10339;9705;9897;0;273;0;40;3;20;0;0
Corvhael;518|528;10339;9282;9247;126;300;0;192;0;20;0;0
Corvhael;504|539;10339;0;0;6916;110;2764;0;475;0;0;0
Corvhael;515|546;10339;5;0;6892;95;3000;5;650;15;0;0
Corvhael;502|542;10339;0;0;6787;110;2800;0;472;0;0;0
Corvhael;494|542;10339;50;0;7439;110;2372;0;650;15;0;0
Corvhael;513|540;10339;0;0;6717;110;2800;0;462;15;0;0
Corvhael;488|544;10339;0;0;7569;110;2382;0;650;0;0;0
Corvhael;528|523;10339;0;0;7819;110;2477;0;500;15;0;0
Corvhael;497|549;10339;0;8;7689;110;2800;0;650;15;0;0
Corvhael;517|543;10339;0;0;3116;80;1449;0;397;0;0;0
Corvhael;541|523;10339;87;252;8163;100;2092;0;660;15;0;0
Corvhael;520|543;10339;9257;9258;0;175;0;215;0;20;0;0
Corvhael;490|545;10339;0;0;7457;110;2800;0;650;15;0;0
Corvhael;509|536;10339;0;0;5550;100;2211;0;500;15;0;0
Corvhael;500|551;10339;0;0;7757;95;821;0;500;15;0;0
Corvhael;516|547;10339;0;0;7435;67;1386;0;500;15;0;0
Corvhael;502|541;10339;0;0;6747;110;2800;0;480;0;0;0
Corvhael;495|550;10339;0;0;7495;110;2463;0;600;0;0;0
Corvhael;493|550;10339;0;0;7117;110;2744;0;450;0;0;0
Corvhael;493|552;10339;0;0;6967;110;2690;0;500;15;0;0
Corvhael;493|551;10339;0;0;8831;90;2264;0;500;0;0;0
Corvhael;500|552;10339;0;0;8777;110;821;0;550;0;0;0
Corvhael;500|553;10339;9485;9874;0;230;0;79;0;19;0;0
Corvhael;515|551;10339;0;0;5189;90;1717;0;500;15;0;0
Corvhael;509|538;10339;0;0;6961;110;2758;0;470;0;0;0
Corvhael;501|554;10339;0;0;7767;90;2093;0;500;15;0;0
Corvhael;493|553;10339;0;0;7019;110;2677;0;500;15;0;0
Corvhael;516|555;10339;0;0;10267;98;1871;0;500;15;0;0
Corvhael;514|554;10339;0;0;11003;98;1687;0;500;15;0;0
Corvhael;510|549;10339;9766;9899;0;265;0;29;0;20;0;0
Corvhael;519|555;10339;0;0;10347;80;1860;0;500;15;0;0
Corvhael;523|554;10339;9901;9901;1;250;1;0;0;20;0;0
Corvhael;517|556;10339;0;0;10350;80;1859;0;500;15;0;0
Corvhael;501|558;10339;0;0;9187;95;1743;0;500;15;0;0
Corvhael;516|558;10339;0;0;8251;110;2789;0;500;15;0;0
Corvhael;518|555;10339;0;0;7517;90;2243;0;500;15;0;0
Corvhael;512|552;10339;0;0;7747;100;1745;0;500;15;0;0
Corvhael;494|553;10339;0;0;8362;90;1247;0;500;15;0;0
Corvhael;525|555;10339;0;0;7793;110;2716;0;650;15;0;0
Corvhael;524|557;10339;0;0;8069;105;2292;0;600;15;0;0
Corvhael;524|555;10339;8107;8094;0;260;0;601;0;20;0;0
Corvhael;521|558;10339;0;0;7457;110;2800;0;650;15;0;0
Corvhael;519|557;10339;0;0;6803;110;2756;0;480;15;0;0
Corvhael;514|558;10339;9722;9904;0;260;0;40;0;20;0;0
Corvhael;549|538;10339;15;10;7431;110;2398;83;500;15;0;0
Corvhael;520|558;10339;0;0;6577;110;2800;0;490;15;0;0
Corvhael;518|559;10339;9913;9881;0;280;0;0;1;20;0;0
Corvhael;513|560;10339;0;0;6967;110;2710;0;484;15;0;0
Corvhael;518|553;10339;0;0;7970;90;1985;0;500;15;0;0
Corvhael;518|560;10339;0;0;6713;110;2796;0;466;15;0;0
Corvhael;504|537;10339;0;0;7735;100;2503;0;500;15;0;0
Corvhael;494|551;10339;0;0;7167;110;2670;0;500;0;0;0
Corvhael;534|553;10339;0;0;8001;110;2405;0;500;15;0;0
Corvhael;515|563;10339;0;0;7766;110;2383;0;500;15;0;0
Corvhael;530|556;10339;0;0;7734;110;2339;0;500;15;0;0
Corvhael;512|555;10339;1;0;7737;90;1731;0;500;15;0;0
Corvhael;517|563;10339;0;0;8015;110;2491;0;351;15;0;0
Corvhael;518|562;10339;9885;9884;2;285;0;0;0;20;0;0
Corvhael;506|536;10339;0;0;7635;110;2523;0;500;15;0;0
Corvhael;518|564;10339;0;0;8471;88;789;0;399;15;0;0
Corvhael;527|561;10339;0;0;7009;105;2682;0;500;15;0;0
Corvhael;511|564;10339;0;0;7786;100;2487;0;500;15;0;0
Corvhael;523|560;10339;0;0;7806;110;2373;0;500;15;0;0
Corvhael;517|557;10339;24;0;7721;90;2075;0;500;15;0;0
Corvhael;522|526;10339;0;0;5743;88;2031;52;500;15;0;0
Corvhael;516|565;10339;3;0;7773;105;2383;0;500;15;0;0
Corvhael;521|562;10339;0;3;7810;110;2328;0;500;0;0;0
Corvhael;510|566;10339;0;0;7766;110;2382;0;500;15;0;0
Corvhael;498|553;10339;0;0;7290;100;2117;0;500;15;0;0
Corvhael;519|564;10339;0;0;8111;100;2465;0;460;15;0;0
Corvhael;515|566;10339;7524;7530;0;285;0;792;0;20;0;0
Corvhael;517|567;10339;7442;7458;51;285;28;790;0;20;0;0
Corvhael;515|568;10339;0;0;7707;110;2515;0;500;10;0;0
Corvhael;514|567;10339;0;0;8107;110;2463;0;453;15;0;0
Corvhael;521|541;10339;0;0;8318;61;1432;0;500;15;0;0
Corvhael;518|566;10339;9820;9891;0;255;0;0;0;19;0;0
